Indicator,Disaggregations,Number of disaggregations
#10-2-1,Group,1
#10-2-2,Group,1
#10-4-1,Region,1
#10-4-2,Region,1
#10-4-3,Region,1
#11-1-1,fLotte,1
#11-2-1,"Ortsteil, District",2
#11-2-3,"Amt, Gemeinde",2
#11-7-1,"data.maintransport, data.spatialtypes",2
#12-6-1,Status,1
#12-7-1,Status,1
#14-1-1,data.redlistcat,1
#15-1-1,data.antworten,1
#16-4-1,data.bezirk,1
#16-7-2,data.incident,1
#3-8-3,data.noise,1
#5-1-1,Group,1
#5-1-2,Group,1
#5-5-1,data.sex,1
#6-3-1,data.kat,1
#6-3-2,data.kat,1
#8-5-1,data.sex,1
#8-5-2,data.sex,1
#8-5-3,data.sex,1
#9-5-1,data.standort,1
#9-c-1,data.zug,1
